Rk,Nation,Top Team Scorer
W,France,Thierry Henry - 3
F,Italy,"Filippo Inzaghi, Francesco Totti - 2"
SF,Netherlands,Patrick Kluivert - 5
SF,Portugal,Nuno Gomes - 4
QF,Spain,"Gaizka Mendieta, Alfonso Pérez - 2"
QF,Türkiye,Hakan Şükür - 2
QF,Romania,"Ionel Ganea, Viorel Moldovan... - 1"
QF,Yugoslavia,Savo Milošević - 5
GR,Norway,Steffen Iversen - 1
GR,Czechia,Vladimír Šmicer - 2
GR,England,Alan Shearer - 2
GR,Belgium,"Émile Mpenza, Bart Goor - 1"
GR,Slovenia,Zlatko Zahovič - 3
GR,Sweden,"Johan Mjällby, Henrik Larsson - 1"
GR,Germany,Mehmet Scholl - 1
GR,Denmark,
