Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 16,Sat,2016-06-25,15:00,Switzerland ch,(4) 1–1 (5),pl Poland,38842.0,Stade Geoffroy-Guichard (Neutral Site),Mark Clattenburg,Match Report,Poland won on penalty kicks following extra time
Round of 16,Sat,2016-06-25,18:00,Wales wls,1–0,nir Northern Ireland,44342.0,Parc des Princes (Neutral Site),Martin Atkinson,Match Report,
Round of 16,Sat,2016-06-25,21:00,Croatia hr,0–1,pt Portugal,33523.0,Stade Bollaert-Delelis (Neutral Site),Carlos Velasco,Match Report,Required Extra Time
Round of 16,Sun,2016-06-26,15:00,France fr,2–1,ie Rep. of Ireland,56279.0,Groupama Stadium,Nicola Rizzoli,Match Report,
Round of 16,Sun,2016-06-26,18:00,Germany de,3–0,sk Slovakia,44312.0,Stade Pierre-Mauroy (Neutral Site),Szymon Marciniak,Match Report,
Round of 16,Sun,2016-06-26,21:00,Hungary hu,0–4,be Belgium,28921.0,Stadium Municipal (Neutral Site),Milorad Mažić,Match Report,
Round of 16,Mon,2016-06-27,18:00,Italy it,2–0,es Spain,76165.0,Stade de France (Neutral Site),Cüneyt Çakιr,Match Report,
Round of 16,Mon,2016-06-27,21:00,England eng,1–2,is Iceland,33901.0,Stade de Nice (Neutral Site),Damir Skomina,Match Report,
Quarter-finals,Thu,2016-06-30,21:00,Poland pl,(3) 1–1 (5),pt Portugal,62940.0,Orange Vélodrome (Neutral Site),Felix Brych,Match Report,Portugal won on penalty kicks following extra time
Quarter-finals,Fri,2016-07-01,21:00,Wales wls,3–1,be Belgium,45936.0,Stade Pierre-Mauroy (Neutral Site),Damir Skomina,Match Report,
Quarter-finals,Sat,2016-07-02,21:00,Germany de,(6) 1–1 (5),it Italy,38764.0,Stade Matmut-Atlantique (Neutral Site),Viktor Kassai,Match Report,Germany won on penalty kicks following extra time
Quarter-finals,Sun,2016-07-03,21:00,France fr,5–2,is Iceland,76833.0,Stade de France,Björn Kuipers,Match Report,
Semi-finals,Wed,2016-07-06,21:00,Portugal pt,2–0,wls Wales,55679.0,Groupama Stadium (Neutral Site),Jonas Eriksson,Match Report,
Semi-finals,Thu,2016-07-07,21:00,Germany de,0–2,fr France,64078.0,Orange Vélodrome,Nicola Rizzoli,Match Report,
Final,Sun,2016-07-10,21:00,Portugal pt,1–0,fr France,75868.0,Stade de France,Mark Clattenburg,Match Report,Required Extra Time
